iteration,solid_sediment_kg,solid_cs137_Bq,liquid_cs137_bq,solid_am241_bq
194,4.031e+02,1.42e+07,2.47e+08,4.27e+05
195,3.699e+02,1.26e+07,1.08e+08,3.82e+05
196,4.157e+02,1.44e+07,2.08e+08,4.17e+05
197,4.106e+02,1.42e+07,8.27e+07,3.95e+05
198,3.758e+02,1.30e+07,4.79e+07,3.79e+05
199,3.901e+02,1.36e+07,3.03e+08,3.74e+05
200,2.835e+02,1.01e+07,7.50e+07,2.98e+05
201,3.250e+02,1.14e+07,7.46e+07,3.41e+05
202,3.610e+02,1.22e+07,1.04e+08,3.66e+05
203,3.687e+02,1.28e+07,3.31e+07,3.35e+05
204,3.878e+02,1.43e+07,1.95e+08,3.60e+05
205,2.895e+02,1.03e+07,2.80e+08,2.73e+05
206,3.342e+02,1.16e+07,1.02e+08,3.35e+05
207,4.092e+02,1.39e+07,9.59e+07,3.92e+05
208,3.765e+02,1.42e+07,3.46e+08,3.44e+05
209,3.896e+02,1.41e+07,1.43e+08,3.94e+05
210,3.633e+02,1.30e+07,4.18e+07,3.55e+05
211,4.459e+02,1.55e+07,5.74e+07,4.79e+05
212,4.246e+02,1.45e+07,1.80e+08,4.42e+05
213,4.156e+02,1.42e+07,6.53e+07,4.23e+05
214,3.987e+02,1.38e+07,5.58e+07,4.07e+05
215,4.432e+02,1.55e+07,1.13e+08,4.48e+05
216,3.494e+02,1.22e+07,2.72e+08,3.68e+05
217,3.758e+02,1.31e+07,8.24e+07,4.16e+05
218,3.522e+02,1.23e+07,1.62e+08,3.02e+05
219,3.341e+02,1.20e+07,7.22e+07,3.00e+05
220,3.622e+02,1.28e+07,5.24e+07,3.42e+05
221,4.374e+02,1.58e+07,2.34e+06,4.46e+05
222,3.429e+02,1.22e+07,5.34e+07,3.39e+05
223,2.971e+02,1.10e+07,1.88e+08,2.67e+05
224,3.939e+02,1.34e+07,8.78e+07,4.12e+05
225,3.371e+02,1.16e+07,2.11e+08,3.32e+05
226,3.124e+02,1.07e+07,2.36e+08,3.34e+05
227,3.473e+02,1.27e+07,3.72e+07,3.08e+05
228,3.803e+02,1.36e+07,1.13e+08,3.72e+05
229,3.381e+02,1.19e+07,6.51e+07,3.29e+05
230,2.961e+02,1.00e+07,8.87e+07,2.82e+05
231,3.800e+02,1.31e+07,9.11e+07,3.92e+05
232,3.277e+02,1.08e+07,2.07e+08,3.14e+05
233,3.138e+02,1.14e+07,2.14e+07,2.87e+05
234,4.025e+02,1.46e+07,1.14e+08,4.17e+05
235,4.450e+02,1.54e+07,6.40e+07,4.12e+05
236,2.454e+02,8.81e+06,9.53e+07,2.33e+05
237,3.902e+02,1.40e+07,1.43e+08,3.42e+05
238,3.545e+02,1.24e+07,5.73e+07,3.44e+05
239,3.721e+02,1.30e+07,4.94e+07,3.87e+05
240,3.537e+02,1.23e+07,5.65e+07,3.22e+05
241,3.123e+02,1.15e+07,7.67e+07,3.00e+05
242,3.836e+02,1.30e+07,2.79e+07,3.40e+05
243,4.235e+02,1.41e+07,2.20e+08,4.34e+05
244,3.725e+02,1.28e+07,8.20e+07,4.03e+05
245,4.039e+02,1.43e+07,2.01e+07,3.88e+05
246,3.518e+02,1.22e+07,1.17e+08,3.49e+05
247,4.051e+02,1.43e+07,8.28e+07,3.59e+05
248,3.143e+02,1.13e+07,1.54e+07,2.99e+05
249,2.780e+02,9.40e+06,8.32e+06,2.60e+05
250,2.592e+02,9.47e+06,3.78e+07,2.57e+05
251,3.452e+02,1.23e+07,9.87e+07,3.83e+05
252,3.734e+02,1.35e+07,7.81e+07,3.75e+05
253,4.208e+02,1.45e+07,7.81e+07,3.83e+05
254,2.852e+02,9.54e+06,5.01e+07,2.56e+05
255,3.195e+02,1.15e+07,7.70e+07,3.18e+05
256,3.970e+02,1.44e+07,9.17e+07,3.94e+05
257,3.844e+02,1.37e+07,8.37e+06,3.76e+05
258,3.877e+02,1.34e+07,7.69e+07,3.90e+05
