iteration,solid_sediment_kg,solid_cs137_Bq,liquid_cs137_bq,solid_am241_bq
174,3.920e+02,5.17e+06,6.07e+07,1.26e+05
175,3.424e+02,3.98e+06,2.26e+08,1.00e+05
176,3.309e+02,5.26e+06,1.04e+08,1.59e+05
177,3.313e+02,4.50e+06,3.50e+07,1.20e+05
178,2.792e+02,4.63e+06,2.12e+08,1.32e+05
179,3.283e+02,4.51e+06,1.87e+08,1.23e+05
180,2.721e+02,4.10e+06,5.07e+07,8.63e+04
181,2.486e+02,4.38e+06,9.96e+07,1.13e+05
182,3.331e+02,4.64e+06,4.58e+07,1.33e+05
183,2.808e+02,4.14e+06,5.58e+07,1.07e+05
184,3.352e+02,4.69e+06,9.30e+07,1.41e+05
185,3.536e+02,4.58e+06,5.29e+07,9.75e+04
186,3.267e+02,4.30e+06,2.17e+08,1.09e+05
187,3.826e+02,4.42e+06,2.23e+06,1.33e+05
188,3.222e+02,4.12e+06,1.55e+07,1.05e+05
189,2.989e+02,3.85e+06,1.01e+08,9.26e+04
190,3.609e+02,4.27e+06,1.38e+07,1.07e+05
191,3.644e+02,5.25e+06,1.12e+08,1.37e+05
192,2.925e+02,4.47e+06,8.66e+07,1.13e+05
193,3.266e+02,4.74e+06,1.40e+08,1.15e+05
194,3.322e+02,4.18e+06,2.53e+08,1.06e+05
195,2.877e+02,4.02e+06,9.20e+07,1.08e+05
196,3.247e+02,4.90e+06,2.88e+07,1.22e+05
197,3.268e+02,3.46e+06,9.25e+07,8.94e+04
198,3.456e+02,4.57e+06,9.58e+07,1.17e+05
199,3.715e+02,4.14e+06,1.83e+08,1.21e+05
200,3.654e+02,4.47e+06,8.41e+07,1.25e+05
201,4.122e+02,4.66e+06,9.19e+07,1.21e+05
202,3.125e+02,4.17e+06,9.79e+07,1.11e+05
203,3.007e+02,4.73e+06,1.11e+08,1.27e+05
204,4.261e+02,4.33e+06,4.44e+07,1.12e+05
205,3.008e+02,3.95e+06,2.11e+08,1.10e+05
206,4.059e+02,4.91e+06,1.28e+08,1.21e+05
207,3.436e+02,4.45e+06,1.77e+08,1.30e+05
208,4.326e+02,5.12e+06,9.30e+07,1.37e+05
209,2.517e+02,3.24e+06,2.24e+07,7.55e+04
210,3.195e+02,3.75e+06,1.61e+08,9.15e+04
211,3.785e+02,4.61e+06,2.57e+08,1.24e+05
212,3.583e+02,4.17e+06,5.14e+07,1.00e+05
213,4.575e+02,4.33e+06,2.43e+07,1.13e+05
214,4.752e+02,4.63e+06,1.05e+08,1.18e+05
215,3.764e+02,3.94e+06,2.78e+07,9.91e+04
216,3.896e+02,4.32e+06,5.50e+07,1.01e+05
217,3.455e+02,5.16e+06,1.30e+08,1.38e+05
218,3.788e+02,4.18e+06,8.17e+07,1.38e+05
219,3.546e+02,6.42e+06,7.28e+07,1.59e+05
220,3.571e+02,5.00e+06,1.90e+08,1.32e+05
221,4.745e+02,5.00e+06,1.37e+08,1.35e+05
222,3.170e+02,4.80e+06,1.10e+08,1.23e+05
223,4.137e+02,4.47e+06,1.48e+08,1.09e+05
224,3.812e+02,4.39e+06,8.47e+07,1.16e+05
225,3.567e+02,3.96e+06,1.22e+08,9.86e+04
226,3.845e+02,4.43e+06,2.46e+07,1.22e+05
227,3.492e+02,3.76e+06,1.41e+08,1.02e+05
228,4.142e+02,4.60e+06,9.60e+07,1.11e+05
229,4.086e+02,5.58e+06,6.01e+07,1.47e+05
230,4.342e+02,4.84e+06,1.07e+08,1.23e+05
231,3.484e+02,4.83e+06,8.72e+07,1.27e+05
232,2.894e+02,4.55e+06,2.00e+08,1.25e+05
233,2.843e+02,4.07e+06,2.92e+08,1.04e+05
234,3.579e+02,3.62e+06,8.55e+07,9.31e+04
235,2.671e+02,4.89e+06,1.66e+08,1.20e+05
236,3.807e+02,4.78e+06,3.36e+08,1.24e+05
237,3.847e+02,3.86e+06,6.76e+07,9.36e+04
238,4.034e+02,4.85e+06,6.36e+07,1.30e+05
239,3.601e+02,4.33e+06,1.66e+08,1.02e+05
240,4.338e+02,5.21e+06,1.16e+08,1.42e+05
241,4.342e+02,4.09e+06,9.10e+07,9.82e+04
242,3.937e+02,5.09e+06,8.68e+07,1.40e+05
